E:\ProgramData\Anaconda3\envs\base124\python.exe G:\DRPrograme\seinet3\train_open_contrastive.py
[Epoch 4] ce_loss: 0.3042 | con_loss: 1.0959
[Epoch 4] Loss: 1.7105 | Acc: 98.91
[Epoch 5] ce_loss: 0.2798 | con_loss: 1.3010
[Epoch 5] ce_loss: 0.2604 | con_loss: 1.2778
[Epoch 5] ce_loss: 0.2454 | con_loss: 1.2699
[Epoch 5] ce_loss: 0.2492 | con_loss: 1.2972
[Epoch 5] ce_loss: 0.2704 | con_loss: 1.2833
[Epoch 5] ce_loss: 0.2412 | con_loss: 1.2658
[Epoch 5] ce_loss: 0.3002 | con_loss: 1.3139
[Epoch 5] ce_loss: 0.2413 | con_loss: 1.2989
[Epoch 5] ce_loss: 0.2337 | con_loss: 1.2570
[Epoch 5] ce_loss: 0.2377 | con_loss: 1.2914
[Epoch 5] ce_loss: 0.2312 | con_loss: 1.2726
[Epoch 5] ce_loss: 0.2307 | con_loss: 1.2652
[Epoch 5] ce_loss: 0.2498 | con_loss: 1.2793
[Epoch 5] ce_loss: 0.2560 | con_loss: 1.3034
[Epoch 5] ce_loss: 0.2335 | con_loss: 1.2961
[Epoch 5] ce_loss: 0.2376 | con_loss: 1.2793
[Epoch 5] ce_loss: 0.2255 | con_loss: 1.2735
[Epoch 5] ce_loss: 0.2617 | con_loss: 1.3181
[Epoch 5] ce_loss: 0.2246 | con_loss: 1.2702
[Epoch 5] ce_loss: 0.2246 | con_loss: 1.2687
[Epoch 5] ce_loss: 0.2330 | con_loss: 1.2962
[Epoch 5] ce_loss: 0.2128 | con_loss: 1.2761
[Epoch 5] ce_loss: 0.2035 | con_loss: 1.2760
[Epoch 5] ce_loss: 0.2175 | con_loss: 1.2782
[Epoch 5] ce_loss: 0.2043 | con_loss: 1.2611
[Epoch 5] ce_loss: 0.2331 | con_loss: 1.3295
[Epoch 5] ce_loss: 0.1962 | con_loss: 1.2707
[Epoch 5] ce_loss: 0.2320 | con_loss: 1.2835
[Epoch 5] ce_loss: 0.1884 | con_loss: 1.2695
[Epoch 5] ce_loss: 0.1889 | con_loss: 1.2751
[Epoch 5] ce_loss: 0.2039 | con_loss: 1.3210
[Epoch 5] ce_loss: 0.1903 | con_loss: 1.2854
[Epoch 5] ce_loss: 0.2095 | con_loss: 1.2929
[Epoch 5] ce_loss: 0.1964 | con_loss: 1.2569
[Epoch 5] ce_loss: 0.1910 | con_loss: 1.2671
[Epoch 5] ce_loss: 0.1732 | con_loss: 1.2664
[Epoch 5] ce_loss: 0.1849 | con_loss: 1.3002
[Epoch 5] ce_loss: 0.1808 | con_loss: 1.2732
[Epoch 5] ce_loss: 0.1792 | con_loss: 1.2709
[Epoch 5] ce_loss: 0.1631 | con_loss: 1.2593
[Epoch 5] ce_loss: 0.1703 | con_loss: 1.2690
[Epoch 5] ce_loss: 0.1758 | con_loss: 1.2969
[Epoch 5] ce_loss: 0.1869 | con_loss: 1.2684
[Epoch 5] ce_loss: 0.1753 | con_loss: 1.2666
[Epoch 5] ce_loss: 0.1581 | con_loss: 1.2630
[Epoch 5] ce_loss: 0.2118 | con_loss: 1.2861
[Epoch 5] ce_loss: 0.1514 | con_loss: 1.2703
[Epoch 5] ce_loss: 0.1901 | con_loss: 1.2718
